title,issuer,date,link,image
Cyber Challenge - Delhi Police,CyberPeace Foundation,2025,https://block.cyberpeace.org/v2/doc?id=686ee896dc8a6e7bbd0d947fb05877bc0794b2781b55ff056b17779cc0273ea7,data/img/cyber-challengedp.jpg
Python for Data Science,Cognitive Class,2024,https://courses.cognitiveclass.ai/certificates/7e4e547655e34edd9c7621f0f3fefc38,data/img/cyber.png
Introduction to Cybersecurity,Cisco,2024,https://www.credly.com/badges/75933447-71f6-4cdd-abc5-321038fa4160/public_url,data/img/cogdata.png
Python for Data Science,IBM,2024,https://www.credly.com/badges/41719cfc-7816-4617-bb43-3c4590ee7fcc/public_url,data/img/data.png
DevX JMI [Hackathon],SoarJMI,2024,https://certificate.givemycertificate.com/c/22a58c48-e16c-4533-9c52-7a10fc9820cf,data/img/22a58c48-e16c-4533-9c52-7a10fc9820cf.png
Hack The Mountain [Hackathon],Sudans Technocrats Foundation,2024,https://certificate.givemycertificate.com/c/f7bd6810-1dcd-4d1d-8abc-a16ca5b3f2de,data/img/f7bd6810-1dcd-4d1d-8abc-a16ca5b3f2de.png
Game development using PyGame,GUVI,2023,https://www.guvi.in/share-certificate/632gT569z177v1ZO1i,data/img/HCL GUVI Certification - 632gT569z177v1ZO1i.png
ChatGPT for Everyone: Complete Generative AI & Prompt Engineering Course,GUVI,2023,https://www.guvi.in/share-certificate/2711Bl399ONh695wZe,data/img/HCL GUVI Certification - 2711Bl399ONh695wZe.png
Python Programming Course in Hindi: Beginner to Advanced,GUVI,2023,https://www.guvi.in/share-certificate/i22279J81F9V156z61,data/img/HCL GUVI Certification - i22279J81F9V156z61.png
AI For India 2.0,GUVI,2023,https://www.guvi.in/share-certificate/0shTg792c9199t763w,data/img/HCL GUVI Certification - 0shTg792c9199t763w.png
